0010110MARTIN    JEAN      19850315M05CSTRASBRG  0000125000CR
0020120DURAND    MARIE     19900422F15MCOLMAR    0000045000DB
0030130BERNARD   PIERRE    19780910M25DMULHOUSE  0000230000CR
0040140PETIT     SOPHIE    19951205F35VMETZ      0000015000DB
0050150ROBERT    FRANCOIS  19820718M45CNANCY     0000180000CR
0060210RICHARD   ISABELLE  19880603F55MPARIS     0000320000DB
0070220MOREAU    PHILIPPE  19750225M65CNANTERRE  0000095000CR
0080230SIMON     NATHALIE  19920814F75DBOULOGNE  0000055000DB
0090240LAURENT   MICHEL    19680530M85VNEUILLY   0000410000CR
0100250LEFEVRE   CHRISTINE 19831112F95MCRETEIL   0000028000DB
0110310GARCIA    THOMAS    19870920M05CROUEN     0000175000CR
0120320MARTINEZ  JULIE     19940307F15DLEHAVRE   0000062000DB
0130330LOPEZ     ANTOINE   19790615M25MEVREUX    0000285000CR
0140340GONZALEZ  CAMILLE   19910428F35CDIEPPE    0000018000DB
0150350WILSON    DAVID     19860103M45VCAEN      0000145000CR
0160410MULLER    CLAIRE    19930819F55MRENNES    0000078000DB
0170420THOMAS    LUCAS     19800224M65CBREST     0000195000CR
0180430DUVAL     EMMA      19890711F75DLORIENT   0000042000DB
0190440ROUX      NICOLAS   19760918M85MVANNES    0000365000CR
0200450FAURE     JULIE     19840506F95CQUIMPER   0000088000DB
